,Date,Oil_Price,NGL_Price,Gas_Price,Oil_Prod,NGL_Prod,Gas_Prod,Oil_Revenue,NGL_Revenue,Gas_Revenue,Oil_Rev_NRI,NGL_Rev_NRI,Gas_Rev_NRI,Total_Revenue,LOE,Ad_Valorem_Tax,Sev_Tax_Oil,Sev_Tax_NGL,Sev_Tax_Gas,D&CCAPEX,Cash Flow,Cumulative Cash Flows,Time
0,2014-08-01,100.0776,37.071999999999996,4.446,16778.787644672047,1095.6585433649502,5681.192447077519,1679180.7983884313,40618.25351962543,25258.58161970665,1679180.7983884313,40618.25351962543,25258.58161970665,1745057.6335277634,9500,43626.44083819409,80272.65114227711,130879.32251458225,130879.32251458225,6159101,-4799701.103481873,-4799701.103481873,0
1,2014-09-01,100.10520000000001,37.1595,4.468,12654.595198992864,840.4271836983485,4357.770582139584,1266790.7833142206,31229.85393263878,19470.51896099966,1266790.7833142206,31229.85393263878,19470.51896099966,1317491.156207859,9500,32937.27890519648,60604.59318556151,98811.83671558942,98811.83671558942,0,1026325.6106859221,-3773375.4927959507,1
2,2014-10-01,99.2128,36.897,4.457,10261.173695488658,693.0841431290767,3593.7696310396564,1018039.7736157771,25572.72562903354,16017.431245543748,1018039.7736157771,25572.72562903354,16017.431245543748,1059629.9304903543,9500,26490.748262258858,48742.976802556295,79472.24478677657,79472.24478677657,0,825451.715851986,-2947923.776943965,2
3,2014-11-01,98.22840000000001,36.532999999999994,4.459,8682.106765212317,596.4186020163821,3092.540899344203,852829.4561759816,21788.960787464486,13789.639870175799,852829.4561759816,21788.960787464486,13789.639870175799,888408.0568336218,9500,22210.201420840545,40866.770614346606,66630.60426252164,66630.60426252164,0,692069.8762733914,-2255853.9006705736,3
4,2014-12-01,97.2348,36.1795,4.496,7555.366258638087,527.8600233972229,2737.051973170785,734644.5270854227,19097.711716499824,12305.78567137585,734644.5270854227,19097.711716499824,12305.78567137585,766048.0244732983,9500,19151.20061183246,35238.209125771726,57453.60183549737,57453.60183549737,0,596751.4110646993,-1659102.4896058743,4
5,2015-01-01,96.25040000000001,35.847,4.574,6707.46352326714,476.605091641874,2471.285660365272,645596.0470998716,17084.862720086257,11303.660610510755,645596.0470998716,17084.862720086257,11303.660610510755,673984.5704304685,9500,16849.614260761715,31003.29023980155,50548.84278228514,50548.84278228514,0,525033.9803653349,-1134068.5092405393,5
6,2015-02-01,95.96520000000001,35.525,4.634,6044.309795305347,436.8015984223582,2264.89717700482,580043.3983684367,15517.376783954274,10495.533518240338,580043.3983684367,15517.376783954274,10495.533518240338,606056.3086706314,9500,15151.407716765785,27878.590198849044,45454.22315029735,45454.22315029735,0,472117.8644544218,-661950.6447861175,6
7,2015-03-01,95.15559999999999,35.209999999999994,4.604,8684.26984799726,638.2751703992816,3309.5749576259045,826356.907948088,22473.6687497587,15237.283104909664,826356.907948088,22473.6687497587,15237.283104909664,864067.8598027565,9500,21601.696495068914,39747.12155092679,64805.08948520673,64805.08948520673,0,673108.8627863472,11158.218000229681,7
8,2015-04-01,94.392,34.912499999999994,4.513,8004.654759209528,598.3487383590958,3102.54901371383,755575.3720313057,20889.85032796193,14001.803698890515,755575.3720313057,20889.85032796193,14001.803698890515,790467.0260581581,9500,19761.675651453956,36361.483198675276,59285.026954361856,59285.026954361856,0,615773.8132993053,626932.031299535,8
9,2015-05-01,93.61,34.6115,4.12,7432.079758957004,565.0141269079126,2929.70288026325,695716.9862359652,19555.986453473215,12070.37586668459,695716.9862359652,19555.986453473215,12070.37586668459,727343.348556123,9500,18183.583713903074,33457.79403358165,54550.751141709225,54550.751141709225,0,566600.4685252197,1193532.4998247547,9
10,2015-06-01,92.8556,34.327999999999996,4.096,6942.535986925232,536.7897237520556,2783.3541231588065,644653.3445875345,18426.917636960563,11400.61848845847,644653.3445875345,18426.917636960563,11400.61848845847,674480.8807129535,9500,16862.022017823838,31026.12051279586,50586.06605347151,50586.06605347151,0,525420.6060753907,1718953.1059001454,10
11,2015-07-01,92.1288,34.0725,4.112,6518.771183916925,512.6121850669466,2657.989107754538,600566.5666488456,17465.978675693535,10929.65121108666,600566.5666488456,17465.978675693535,10929.65121108666,628962.1965356257,9500,15724.054913390644,28932.261040638783,47172.16474017193,47172.16474017193,0,489961.5511012524,2208914.6570013976,11
12,2015-08-01,91.4848,33.796,4.141,6148.051886153416,491.6973163818669,2549.5416404985694,562453.2971943681,16617.402504441576,10557.651933304576,562453.2971943681,16617.402504441576,10557.651933304576,589628.3516321143,9500,14740.708790802857,27122.904175077256,44222.126372408566,44222.126372408566,0,459320.485921417,2668235.1429228145,12
13,2015-09-01,90.80399999999999,33.558,4.139,5820.768435815988,473.45395571119775,2454.9464370210253,528549.0570458348,15888.167845756374,10161.023302830024,528549.0570458348,15888.167845756374,10161.023302830024,554598.2481944213,9500,13864.956204860533,25511.519416943378,41594.868614581595,41594.868614581595,0,432032.03534345416,3100267.1782662687,13
14,2015-10-01,90.2612,33.3585,4.122,5529.525690525695,457.42770383098053,2371.847353197677,499101.6242576779,15259.102058245764,9776.754789880824,499101.6242576779,15259.102058245764,9776.754789880824,524137.48110580444,9500,13103.437027645112,24110.324130867004,39310.31108293533,39310.31108293533,0,408303.0977814217,3508570.2760476903,14
15,2015-11-01,89.79200000000002,33.1835,4.14,5268.53553575997,443.2631597855754,2298.401569258539,473072.3428269593,14709.023062744642,9515.38249673035,473072.3428269593,14709.023062744642,9515.38249673035,497296.74838643434,9500,12432.418709660858,22875.65042577598,37297.256128982575,37297.256128982575,0,387394.1669930323,3895964.4430407225,15
16,2015-12-01,89.36880000000001,33.043499999999995,4.187,5033.201056690512,430.6784722690201,2233.1476339875117,449811.13859516307,14231.124098421364,9350.189143505711,449811.13859516307,14231.124098421364,9350.189143505711,473392.45183709014,9500,11834.811295927255,21776.052784506144,35504.43388778176,35504.43388778176,0,368772.7199810932,4264737.163021816,16
